Code,Name
009520,포스코엠텍
282330,BGF리테일
138930,BNK금융지주
001040,CJ
005830,DB손해보험
000210,DL
375500,DL이앤씨
383220,F&F
006360,GS건설
078930,GS
012630,HDC
204320,HL만도
175330,JB금융지주
105560,KB금융
003620,KG모빌리티
034220,LG디스플레이
003550,LG
051900,LG생활건강
373220,LG에너지솔루션
032640,LG유플러스
011070,LG이노텍
066570,LG전자
051910,LG화학
079550,LIG넥스원
010120,LS ELECTRIC
006260,LS
035420,NAVER
456040,OCI
010950,S-Oil
011790,SKC
034730,SK
402340,SK스퀘어
361610,SK아이이테크놀로지
096770,SK이노베이션
285130,SK케미칼
017670,SK텔레콤
002710,TCC스틸
399720,가온칩스
035250,강원랜드
010130,고려아연
098460,고영
215000,골프존
114090,GKL
011780,금호석유화학
073240,금호타이어
420770,기가비스
000270,기아
121600,나노신소재
253590,네오셈
095660,네오위즈
007390,네이처셀
348210,넥스틴
225570,넥슨게임즈
251270,넷마블
006280,녹십자
005250,녹십자홀딩스
004370,농심
032190,다우데이타
001680,대상
047040,대우건설
003090,대웅
069620,대웅제약
078600,대주전자재료
006650,대한유화
001440,대한전선
003490,대한항공
192080,더블유게임즈
213420,덕산네오룩스
317330,덕산테코피아
194480,데브시스터즈
145720,덴티움
086450,동국제약
026960,동서
033500,동성화인텍
006040,동원산업
014820,동원시스템즈
005290,동진쎄미켐
025900,동화기업
454910,두산로보틱스
241560,두산밥캣
000150,두산
034020,두산에너빌리티
131970,두산테스나
376300,디어유
007340,DN오토모티브
281740,레이크머티리얼즈
277810,레인보우로보틱스
023530,롯데쇼핑
280360,롯데웰푸드
004000,롯데정밀화학
004990,롯데지주
005300,롯데칠성
011170,롯데케미칼
328130,루닛
141080,리가켐바이오
058470,리노공업
267980,매일유업
215200,메가스터디교육
086900,메디톡스
138040,메리츠금융지주
140410,메지온
095500,미래나노텍
006800,미래에셋증권
081660,미스토홀딩스
002840,미원상사
268280,미원에스씨
053030,바이넥스
064550,바이오니아
310210,보로노이
018290,브이티
028050,삼성E&A
006400,삼성SDI
028260,삼성물산
207940,삼성바이오로직스
032830,삼성생명
018260,삼성에스디에스
009150,삼성전기
005930,삼성전자
010140,삼성중공업
016360,삼성증권
029780,삼성카드
000810,삼성화재
003230,삼양식품
000250,삼천당제약
006730,서부T&D
046890,서울반도체
178320,서진시스템
171090,선익시스템
014620,성광벤드
015750,성우하이텍
365340,성일하이텍
004490,세방전지
001430,세아베스틸지주
003030,세아제강지주
108860,셀바스AI
068270,셀트리온
068760,셀트리온제약
357780,솔브레인
036830,솔브레인홀딩스
067160,SOOP
253450,스튜디오드래곤
025320,시노펙스
065350,신성델타테크
004170,신세계
055550,신한지주
257720,실리콘투
222800,심텍
050890,쏠리드
222080,씨아이에스
352480,씨앤씨인터내셔널
112610,씨에스윈드
000120,CJ대한통운
035760,CJ ENM
097950,CJ제일제당
096530,씨젠
025980,아난티
090430,아모레퍼시픽
002790,아모레퍼시픽홀딩스
099190,아이센스
095340,ISC
139130,iM금융지주
084850,아이티엠반도체
114840,아이패밀리에스씨
053800,안랩
218410,RFHIC
196170,알테오젠
137310,에스디바이오센서
101490,에스앤에스텍
056190,에스에프에이
036540,SFA반도체
005850,에스엘
041510,에스엠
012750,에스원
302440,SK바이오사이언스
326030,SK바이오팜
000660,SK하이닉스
237690,에스티팜
058610,에스피지
298380,에이비엘바이오
009540,HD한국조선해양
443060,HD현대마린솔루션
010620,HD현대미포
267250,HD현대
042670,HD현대인프라코어
267260,HD현대일렉트릭
329180,HD현대중공업
298050,HS효성첨단소재
028300,HLB
115450,HLB테라퓨틱스
011200,HMM
195940,HK이노엔
403870,HPSP
278470,에이피알
101360,에코앤드림
086520,에코프로
450080,에코프로머티
247540,에코프로비엠
383310,에코프로에이치엔
036810,에프에스티
036570,엔씨소프트
060250,NHN KCP
005940,NH투자증권
348370,엔켐
290650,엘앤씨바이오
066970,엘앤에프
417200,LS머트리얼즈
058970,엠로
111770,영원무역
009970,영원무역홀딩스
000670,영풍
007310,오뚜기
271560,오리온
001800,오리온홀딩스
039200,오스코텍
010060,OCI홀딩스
394280,오픈엣지테크놀로지
232140,와이씨
122870,와이지엔터테인먼트
316140,우리금융지주
041190,우리기술투자
240810,원익IPS
074600,원익QnC
336570,원텍
069080,웹젠
112040,위메이드
101730,위메이드맥스
084370,유진테크
179900,유티아이
000100,유한양행
008730,율촌화학
272290,이녹스첨단소재
139480,이마트
457190,이수스페셜티케미컬
091120,이엠텍
039030,이오테크닉스
049070,인탑스
189300,인텔리안테크
033100,제룡전기
079370,제우스
204270,제이앤티씨
035900,JYP Ent.
030000,제일기획
080220,제주반도체
082270,젬백스
185750,종근당
036930,주성엔지니어링
002380,KCC
024110,기업은행
358570,지아이이노베이션
007070,GS리테일
071320,지역난방공사
085660,차바이오텍
278280,천보
094360,칩스앤미디어
293490,카카오게임즈
323410,카카오뱅크
035720,카카오
377300,카카오페이
042000,카페24
078340,컴투스
214370,케어젠
032500,케이엠더블유
030200,KT
033780,KT&G
183300,코미코
192820,코스맥스
241710,코스메카코리아
005420,코스모화학
120110,코오롱인더
021240,코웨이
200130,콜마비앤에이치
060280,큐렉소
259960,크래프톤
214150,클래시스
039490,키움증권
003240,태광산업
323280,태성
095610,테스
089030,테크윙
064760,티씨케이
131290,티에스이
069260,TKG휴켐스
214450,파마리서치
140860,파크시스템스
091700,파트론
028670,팬오션
263750,펄어비스
087010,펩트론
022100,포스코DX
047050,포스코인터내셔널
003670,포스코퓨처엠
005490,POSCO홀딩스
103140,풍산
053610,프로텍
319660,피에스케이
031980,피에스케이홀딩스
137400,피엔티
161580,필옵틱스
086790,하나금융지주
067310,하나마이크론
166090,하나머티리얼즈
039130,하나투어
003380,하림지주
352820,하이브
160190,하이젠알앤엠
000080,하이트진로
036460,한국가스공사
034950,한국기업평가
000240,한국앤컴퍼니
015760,한국전력
052690,한전기술
017960,한국카본
161890,한국콜마
161390,한국타이어앤테크놀로지
071050,한국금융지주
047810,한국항공우주
030520,한글과컴퓨터
042700,한미반도체
008930,한미사이언스
128940,한미약품
009240,한샘
014680,한솔케미칼
018880,한온시스템
009420,한올바이오파마
300720,한일시멘트
051600,한전KPS
180640,한진칼
000880,한화
489790,한화비전
088350,한화생명
009830,한화솔루션
272210,한화시스템
012450,한화에어로스페이스
042660,한화오션
000720,현대건설
086280,현대글로비스
064350,현대로템
012330,현대모비스
048410,현대바이오
069960,현대백화점
017800,현대엘리베이터
011210,현대위아
005380,현대차
004020,현대제철
001450,현대해상
008770,호텔신라
298040,효성중공업
298020,효성티앤씨
093370,후성
145020,휴젤
