Code,Name,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12
000250,삼천당제약,6.89,4.96,4.96,4.96,4.96,1.25,1.25,1.25,1.25
003380,하림지주,6.83,4.71,4.71,4.71,4.71,6.24,6.24,6.24,6.24
005290,동진쎄미켐,14.84,13.45,13.45,13.45,13.45,14.79,14.79,14.79,14.79
006730,서부T&D,14.18,22.01,22.01,22.01,22.01,25.6,25.6,25.6,25.6
007390,네이처셀,-41.94,-53.09,-53.09,-53.09,-53.09,1.85,1.85,1.85,1.85
009520,포스코엠텍,1.86,1.31,1.31,1.31,1.31,0.41,0.41,0.41,0.41
014620,성광벤드,10.97,17.6,17.6,17.6,17.6,18.44,18.44,18.44,18.44
015750,성우하이텍,2.59,5.94,5.94,5.94,5.94,4.85,4.85,4.85,4.85
018290,브이티,9.8,15.41,15.41,15.41,15.41,25.69,25.69,25.69,25.69
025320,시노펙스,5.26,9.22,9.22,9.22,9.22,8.91,8.91,8.91,8.91
025900,동화기업,6.58,-1.72,-1.72,-1.72,-1.72,1.82,1.82,1.82,1.82
025980,아난티,35.42,29.76,29.76,29.76,29.76,0.28,0.28,0.28,0.28
028300,HLB,-41.55,-291.43,-291.43,-291.43,-291.43,-173.97,-173.97,-173.97,-173.97
030520,한글과컴퓨터,10.34,12.6,12.6,12.6,12.6,13.26,13.26,13.26,13.26
031980,피에스케이홀딩스,23.22,28.48,28.48,28.48,28.48,41.06,41.06,41.06,41.06
032190,다우데이타,7.97,6.46,6.46,6.46,6.46,9.94,9.94,9.94,9.94
032500,케이엠더블유,-25.07,-62.82,-62.82,-62.82,-62.82,-52.06,-52.06,-52.06,-52.06
033100,제룡전기,18.57,38.14,38.14,38.14,38.14,37.24,37.24,37.24,37.24
033500,동성화인텍,3.52,7.49,7.49,7.49,7.49,9.04,9.04,9.04,9.04
034950,한국기업평가,29.47,27.03,27.03,27.03,27.03,31.41,31.41,31.41,31.41
035760,CJ ENM,2.87,-0.33,-0.33,-0.33,-0.33,2,2.0,2.0,2.0
035900,JYP Ent.,27.94,29.91,29.91,29.91,29.91,21.31,21.31,21.31,21.31
036540,SFA반도체,8.99,-3.19,-3.19,-3.19,-3.19,-0.01,-0.01,-0.01,-0.01
036810,에프에스티,2.88,-5.46,-5.46,-5.46,-5.46,0.96,0.96,0.96,0.96
036830,솔브레인홀딩스,13.01,18.28,18.28,18.28,18.28,15.59,15.59,15.59,15.59
036930,주성엔지니어링,28.29,10.16,10.16,10.16,10.16,23.74,23.74,23.74,23.74
039030,이오테크닉스,20.75,9.78,9.78,9.78,9.78,9.72,9.72,9.72,9.72
039200,오스코텍,-565.71,-659.58,-659.58,-659.58,-659.58,-8.04,-8.04,-8.04,-8.04
041190,우리기술투자,"-1,218.84",90.15,90.15,90.15,90.15,91.38,91.38,91.38,91.38
041510,에스엠,10.7,11.81,11.81,11.81,11.81,8.82,8.82,8.82,8.82
042000,카페24,-8,0.57,0.57,0.57,0.57,10.56,10.56,10.56,10.56
046890,서울반도체,-3.01,-4.78,-4.78,-4.78,-4.78,0.07,0.07,0.07,0.07
048410,현대바이오,-335.65,-103.2,-103.2,-103.2,-103.2,5.26,5.26,5.26,5.26
049070,인탑스,12.91,3.17,3.17,3.17,3.17,0.62,0.62,0.62,0.62
050890,쏠리드,10.22,11.29,11.29,11.29,11.29,10.61,10.61,10.61,10.61
053030,바이넥스,10.97,0.67,0.67,0.67,0.67,-23.65,-23.65,-23.65,-23.65
053610,프로텍,30.22,11.17,11.17,11.17,11.17,7.89,7.89,7.89,7.89
053800,안랩,11.84,11.05,11.05,11.05,11.05,10.62,10.62,10.62,10.62
056190,에스에프에이,9.55,4.78,4.78,4.78,4.78,-2.37,-2.37,-2.37,-2.37
058470,리노공업,42.38,44.75,44.75,44.75,44.75,44.65,44.65,44.65,44.65
058610,에스피지,5.78,4.06,4.06,4.06,4.06,3.18,3.18,3.18,3.18
058970,엠로,11.06,7.38,7.38,7.38,7.38,10.83,10.83,10.83,10.83
060250,NHN KCP,5.37,4.32,4.32,4.32,4.32,3.96,3.96,3.96,3.96
060280,큐렉소,1.71,1.56,1.56,1.56,1.56,-10.48,-10.48,-10.48,-10.48
064550,바이오니아,5.28,0.3,0.3,0.3,0.3,-4.56,-4.56,-4.56,-4.56
064760,티씨케이,39.75,29.43,29.43,29.43,29.43,29.29,29.29,29.29,29.29
065350,신성델타테크,4.04,3.41,3.41,3.41,3.41,3.2,3.2,3.2,3.2
067160,SOOP,28.51,26.25,26.25,26.25,26.25,27.47,27.47,27.47,27.47
067310,하나마이크론,11.58,5.98,5.98,5.98,5.98,8.54,8.54,8.54,8.54
