date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251125,419500,419500,412000,413500,230140,95527,0.36,1500,2,373220,96759000,-47.50,130.66,4.72,0.10,0,0,0,2,7500,1.82,2,7500,1.82,3,0,0.00
20251124,429500,429500,412000,412000,431766,178816,-3.17,13500,5,373220,96408000,77.90,68.21,4.72,0.18,34689,-26748,14496,2,4000,0.94,2,4000,0.94,5,-13500,-3.17
20251121,428000,432000,422500,425500,242702,103580,-3.51,15500,5,373220,99567000,54.96,94.57,4.70,0.10,43623,-29304,1328,5,-13000,-2.95,5,-9000,-2.04,5,-18500,-4.20
20251120,445500,449500,440500,441000,156626,69549,0.80,3500,2,373220,103194000,-37.12,109.26,4.67,0.07,-1153,11948,4199,2,8000,1.83,2,12000,2.74,2,3000,0.69
20251119,444000,446000,428500,437500,249097,108703,-1.24,5500,5,373220,102375000,-14.45,93.83,4.67,0.11,45152,-7798,-17019,2,1000,0.23,2,3000,0.68,5,-14500,-3.27
20251118,461000,465500,443000,443000,291156,130598,-4.32,20000,5,373220,103662000,84.60,62.77,4.63,0.12,64792,-66406,22744,5,-2000,-0.43,2,2500,0.54,5,-20000,-4.32
20251117,469000,469000,456000,463000,157725,72856,0.00,0,3,373220,108342000,-44.23,73.70,4.60,0.07,29286,-22317,7035,2,6000,1.30,2,6000,1.30,5,-7000,-1.51
20251114,470000,480500,461000,463000,282819,132427,-4.44,21500,5,373220,108342000,-54.22,74.75,4.54,0.12,11836,-39097,40406,5,-14500,-2.99,5,-4000,-0.83,5,-23500,-4.85
20251113,475000,491500,468000,484500,617757,297694,1.89,9000,2,373220,113373000,138.77,126.97,4.55,0.26,58914,-21462,-13911,5,-500,-0.11,2,16000,3.36,5,-7500,-1.58
20251112,481500,481500,470500,475500,258727,123187,0.53,2500,2,373220,111267000,-34.74,94.15,4.59,0.11,-23662,49344,-8044,2,8500,1.80,2,8500,1.80,5,-2500,-0.53
20251111,471500,490000,467500,473000,396429,189755,1.61,7500,2,373220,110682000,62.42,117.28,4.61,0.17,-46104,110524,-41681,2,6000,1.29,2,24500,5.26,2,2000,0.43
20251110,465500,470000,457500,465500,244077,113360,0.43,2000,2,373220,108927000,-12.79,86.15,4.62,0.10,-37036,38067,13446,2,2000,0.43,2,6500,1.40,5,-6000,-1.29
20251107,470000,481000,457000,463500,279860,130575,-1.38,6500,5,373220,108459000,-53.37,76.67,4.64,0.12,-18104,8778,20171,3,0,0.00,2,11000,2.34,5,-13000,-2.77
20251106,481500,495000,469500,470000,600184,288332,1.29,6000,2,373220,109980000,35.21,113.86,4.66,0.26,-11936,66894,-23715,2,17500,3.77,2,31000,6.68,2,5500,1.19
20251105,469000,472000,452000,464000,443887,205006,-1.90,9000,5,373220,108576000,11.55,73.44,4.67,0.19,83105,-20560,-46439,5,-4000,-0.85,5,-1000,-0.21,5,-21000,-4.44
20251104,490000,492000,472000,473000,397941,190877,-0.53,2500,5,373220,110682000,17.75,71.69,4.63,0.17,48114,-43970,18855,2,14500,3.05,2,16500,3.47,5,-3500,-0.74
20251103,480000,480500,465500,475500,337955,159853,0.53,2500,2,373220,111267000,-32.36,87.18,4.60,0.14,-21894,8682,6905,2,7000,1.48,2,7500,1.59,5,-7500,-1.59
20251031,476500,491500,469500,473000,499652,237453,-2.77,13500,5,373220,110682000,-31.42,67.27,4.61,0.21,53900,-111119,59476,5,-10000,-2.06,2,5000,1.03,5,-17000,-3.49
20251030,511000,522000,483000,486500,728528,361363,-5.35,27500,5,373220,113841000,65.88,80.50,4.61,0.31,172872,-132640,-26399,5,-3000,-0.58,2,8000,1.56,5,-31000,-6.03
20251029,510000,527000,505000,514000,439194,226337,0.78,4000,2,373220,120276000,-20.64,130.19,4.54,0.19,32474,32827,-58844,3,0,0.00,2,17000,3.33,5,-5000,-0.98
20251028,494500,510000,485500,510000,553394,277240,3.03,15000,2,373220,119340000,-7.70,122.02,4.53,0.24,73870,56334,-132135,5,-500,-0.10,2,15000,3.03,5,-9500,-1.92
20251027,495000,499500,480000,495000,599572,294572,0.61,3000,2,373220,115830000,-38.61,95.19,4.49,0.26,68203,-7552,-57012,2,3000,0.61,2,7500,1.52,5,-12000,-2.44
20251024,452000,496000,448500,492000,976594,467643,9.94,44500,2,373220,115128000,224.71,224.32,4.42,0.42,166,227205,-234922,2,4500,1.01,2,48500,10.84,2,1000,0.22
20251023,451000,457000,443000,447500,300756,135027,-1.54,7000,5,373220,104715000,-50.56,83.81,4.38,0.13,23138,-29340,3368,5,-3500,-0.77,2,2500,0.55,5,-11500,-2.53
20251022,444000,458500,441000,454500,608320,274420,4.00,17500,2,373220,106353000,31.41,162.44,4.35,0.26,-52711,134483,-81806,2,7000,1.60,2,21500,4.92,2,4000,0.92
20251021,432500,449500,431000,437000,462927,203817,1.04,4500,2,373220,102258000,25.61,113.11,4.35,0.20,-45939,133695,-89476,3,0,0.00,2,17000,3.93,5,-1500,-0.35
20251020,433000,435000,421000,432500,368538,158534,-0.35,1500,5,373220,101205000,-61.05,89.05,4.37,0.16,-11883,-21499,31482,5,-1000,-0.23,2,1000,0.23,5,-13000,-3.00
20251017,416000,443000,411500,434000,946272,407858,3.21,13500,2,373220,101556000,10.71,125.60,4.34,0.40,76267,95110,-168465,5,-4500,-1.07,2,22500,5.35,5,-9000,-2.14
20251016,385500,421000,385500,420500,854761,348727,8.80,34000,2,373220,98397000,166.48,182.73,4.29,0.37,123268,269837,-381974,5,-1000,-0.26,2,34500,8.93,5,-1000,-0.26
20251015,384000,387500,375000,386500,320758,122765,0.39,1500,2,373220,90441000,-62.04,118.58,4.22,0.14,8657,8009,-18240,5,-1000,-0.26,2,2500,0.65,5,-10000,-2.60
20251014,361000,389500,361000,385000,844960,322289,6.94,25000,2,373220,90090000,123.50,170.04,4.20,0.36,95373,270108,-363368,2,1000,0.28,2,29500,8.19,2,1000,0.28
20251013,363500,366500,352500,360000,378056,136222,0.14,500,2,373220,84240000,-30.23,79.37,4.12,0.16,49489,-96836,51509,2,4000,1.11,2,7000,1.95,5,-7000,-1.95
20251010,367500,367500,352500,359500,541859,194275,-9.90,39500,5,373220,84123000,21.62,104.85,4.10,0.23,-142521,-73321,213569,5,-31500,-7.89,5,-31500,-7.89,5,-46500,-11.65
20251002,350000,399000,347500,399000,445538,165860,14.82,51500,2,373220,93366000,214.92,118.19,4.17,0.19,4449,139356,-140150,2,2500,0.72,2,51500,14.82,3,0,0.00
20251001,349000,351000,341000,347500,141477,48967,0.00,0,3,373220,81315000,17.85,92.15,4.13,0.06,10012,-23773,14041,2,1500,0.43,2,3500,1.01,5,-6500,-1.87
20250930,348500,355000,346500,347500,120050,42010,-1.14,4000,5,373220,81315000,-10.44,76.10,4.12,0.05,-11135,878,9816,5,-3000,-0.85,2,3500,1.00,5,-5000,-1.42
20250929,350500,353500,349000,351500,134044,47118,0.72,2500,2,373220,82251000,9.58,108.08,4.13,0.06,7465,10032,-17602,2,1500,0.43,2,4500,1.29,3,0,0.00
20250926,356000,356000,349000,349000,122326,42942,-3.46,12500,5,373220,81666000,-58.81,56.51,4.14,0.05,-17936,-21462,38669,5,-5500,-1.52,5,-5500,-1.52,5,-12500,-3.46
20250925,349500,363000,345500,361500,297003,106390,3.88,13500,2,373220,84591000,60.37,193.02,4.13,0.13,78619,96522,-172468,2,1500,0.43,2,15000,4.31,5,-2500,-0.72
20250924,358500,361500,346500,348000,185199,64773,-2.52,9000,5,373220,81432000,4.40,55.26,4.09,0.08,-5090,-69130,73819,2,1500,0.42,2,4500,1.26,5,-10500,-2.94
20250923,348500,357000,347000,357000,177389,62667,2.29,8000,2,373220,83538000,29.03,164.04,4.11,0.08,23851,39463,-63065,5,-500,-0.14,2,8000,2.29,5,-2000,-0.57
20250922,350000,355000,348000,349000,137479,48176,-0.14,500,5,373220,81666000,-25.24,95.27,4.10,0.06,-12386,322,10714,2,500,0.14,2,5500,1.57,5,-1500,-0.43
20250919,351500,354500,347500,349500,183895,64278,-1.41,5000,5,373220,81783000,5.81,87.39,4.09,0.08,-24435,-10244,35472,5,-3000,-0.85,3,0,0.00,5,-7000,-1.97
20250918,351500,354500,347000,354500,173795,61080,1.29,4500,2,373220,82953000,-5.82,133.35,4.10,0.07,6551,11097,-18485,2,1500,0.43,2,4500,1.29,5,-3000,-0.86
20250917,351000,356000,348000,350000,184541,64924,0.14,500,2,373220,81900000,-37.14,138.12,4.11,0.08,1651,26075,-25984,2,1500,0.43,2,6500,1.86,5,-1500,-0.43
20250916,357000,359000,346500,349500,293554,103300,-1.69,6000,5,373220,81783000,39.05,90.88,4.13,0.13,-54830,20737,36263,2,1500,0.42,2,3500,0.98,5,-9000,-2.53
20250915,356000,359000,352500,355500,211120,75037,0.00,0,3,373220,83187000,-27.85,127.64,4.09,0.09,15352,22887,-37524,2,500,0.14,2,3500,0.98,5,-3000,-0.84
20250912,354500,356500,350500,355500,292617,103671,1.57,5500,2,373220,83187000,-23.15,91.21,4.08,0.13,-80642,56043,25125,2,4500,1.29,2,6500,1.86,2,500,0.14
20250911,347500,353000,344000,350000,380778,132866,2.79,9500,2,373220,81900000,54.66,115.25,4.13,0.16,4667,55592,-59625,2,7000,2.06,2,12500,3.67,2,3500,1.03
20250910,347500,347500,339500,340500,246196,84039,-1.87,6500,5,373220,79677000,45.83,47.13,4.11,0.11,-80872,-9564,91664,2,500,0.14,2,500,0.14,5,-7500,-2.16
20250909,344500,349000,341500,347000,168820,58443,1.02,3500,2,373220,81198000,-9.15,113.00,4.15,0.07,1285,29918,-28958,2,1000,0.29,2,5500,1.60,5,-2000,-0.58
20250908,337000,345500,336500,343500,185815,63624,0.15,500,2,373220,80379000,-6.92,80.12,4.15,0.08,-5701,37843,-29221,5,-6000,-1.75,2,2500,0.73,5,-6500,-1.90
